country,ISO3,year,sex,C73_deaths,population,ASMR_per_100k,standard_population,mortality_quality,primary_latency_break,observed_status,source,source_url,analysis_role
Croatia,HRV,1998,female,30,2337900.0,0.68818075,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,1999,female,26,2365400.0,0.60453559,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2000,female,19,2275700.0,0.53683183,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2001,female,15,2291020.0,0.23294162,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2002,female,25,2304700.0,0.4314875,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2003,female,25,2304100.0,0.4599337,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2004,female,22,2302500.0,0.39637823,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2005,female,22,2303305.0,0.40748954,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2006,female,27,2301088.0,0.44784141,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2007,female,17,2297998.0,0.27629777,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2008,female,32,2296486.0,0.56291708,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2009,female,22,2292847.0,0.27592147,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,2010,female,24,2285969.0,0.41663205,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
